Swedish House Mafia,2,6
Swizz Beats,1,1
System Of A Down,2,4
T.I.,3,16
Take That,2,3
Taylor Swift,1,1
Terror Squad,1,2
The All-American Rejects,2,3
The Black Keys & RZA,1,1
The Fugees,1,4
The Game,12,143
The Killers,1,7
The Kooks,2,11
The Notorious B.I.G.,5,20
The Offspring,2,2
The Prodigy,1,2
The Streets,4,22
The Strokes,4,9
The Verve,1,3
Three 6 Mafia,1,1
Tiesto,4,10
Timbaland,2,23
Tinchy Stryder,3,3
Tinie Tempah,1,4
Tony Yayo,1,6
TQ,1,1
Travis,2,2
Travis Scott,1,1
Trick Daddy,1,1
Truth Hurts,1,2
Twista,1,1
Tyga,2,2
U2,1,1
Usher,5,13
Vince DiCola,1,1
Warren G,1,1
WC,1,1
We Are Scientists,1,4
Westside Connection,1,1
Will.I.Am,1,1
William Orbit,1,1
Wiz Khalifa,1,2
Wu-Tang Clan,3,23
X-Ecutioners,1,2
Xzibit,2,18
Yelawolf,1,1
Young Buck,2,6
Young Jeezy,5,36
